signal_date,effective_date,ticker,vcrf_state,floor_price,recognition_price,total_score,tradable_flag,signal_version,underwrite_score,realization_score,position_state,primary_type,sector_route,announcement_date,reject_reason
2025-04-30,2025-05-06,601065,REJECT,5.89,1.39,50.93,1,public_source_watchlist_v1,44.54,60.51,reject,cyclical,core_resource,2025-04-30,
2025-04-30,2025-05-06,600019,REJECT,7.88,1.33,49.98,1,public_source_watchlist_v1,56.8,39.75,reject,compounder,core_resource,2025-04-30,
2025-04-30,2025-05-06,600568,REJECT,0.78,1.15,48.88,0,public_source_watchlist_v1,53.14,42.48,reject,special_situation,financial_asset,2025-04-30,
2025-04-30,2025-05-06,603227,REJECT,3.95,0.73,45.46,1,public_source_watchlist_v1,45.15,45.93,reject,compounder,core_resource,2025-04-30,
2025-04-30,2025-05-06,002226,REJECT,3.1,0.66,43.23,1,public_source_watchlist_v1,41.2,46.27,reject,compounder,core_resource,2025-04-30,
2025-04-30,2025-05-06,002121,REJECT,0.31,0.45,38.87,1,public_source_watchlist_v1,29.55,52.85,reject,compounder,financial_asset,2025-04-30,debt wall coverage fails survival tripwire
2025-04-30,2025-05-06,000425,REJECT,4.16,2.23,36.71,1,public_source_watchlist_v1,33.75,41.15,reject,compounder,rigid_shovel,2025-04-30,
2025-04-30,2025-05-06,603977,REJECT,3.94,0.84,35.08,1,public_source_watchlist_v1,26.42,48.08,reject,compounder,unknown,2025-04-30,debt wall coverage fails survival tripwire
2025-04-30,2025-05-06,600221,REJECT,0.04,0.04,33.22,1,public_source_watchlist_v1,26.4,43.46,reject,compounder,unknown,2025-04-30,debt wall coverage fails survival tripwire
2025-05-30,2025-06-03,600348,HARVEST,8.03,1.99,57.12,1,public_source_watchlist_v1,62.56,48.95,harvest,cyclical,core_resource,2025-05-30,
2025-05-30,2025-06-03,600758,REJECT,3.65,0.86,51.52,1,public_source_watchlist_v1,52.18,50.53,reject,compounder,core_resource,2025-05-30,
2025-05-30,2025-06-03,601065,REJECT,5.89,1.39,50.91,1,public_source_watchlist_v1,44.54,60.46,reject,cyclical,core_resource,2025-05-30,
2025-05-30,2025-06-03,600019,REJECT,7.88,1.33,50.62,1,public_source_watchlist_v1,56.8,41.34,reject,compounder,core_resource,2025-05-30,
2025-05-30,2025-06-03,600568,REJECT,0.78,1.15,48.64,0,public_source_watchlist_v1,47.34,50.59,reject,special_situation,financial_asset,2025-05-30,
2025-05-30,2025-06-03,603227,REJECT,3.95,0.73,46.07,1,public_source_watchlist_v1,45.15,47.46,reject,compounder,core_resource,2025-05-30,
2025-05-30,2025-06-03,002226,REJECT,3.1,0.66,42.78,1,public_source_watchlist_v1,41.2,45.16,reject,compounder,core_resource,2025-05-30,
2025-05-30,2025-06-03,002121,REJECT,0.31,0.45,39.79,1,public_source_watchlist_v1,29.55,55.15,reject,compounder,financial_asset,2025-05-30,debt wall coverage fails survival tripwire
2025-05-30,2025-06-03,000425,REJECT,4.16,2.23,37.83,1,public_source_watchlist_v1,33.75,43.95,reject,compounder,rigid_shovel,2025-05-30,
2025-05-30,2025-06-03,603977,REJECT,3.94,0.84,34.66,1,public_source_watchlist_v1,26.42,47.02,reject,compounder,unknown,2025-05-30,debt wall coverage fails survival tripwire
2025-05-30,2025-06-03,600221,REJECT,0.04,0.04,33.22,1,public_source_watchlist_v1,26.4,43.46,reject,compounder,unknown,2025-05-30,debt wall coverage fails survival tripwire
2025-06-30,2025-07-01,600348,HARVEST,8.03,1.99,57.56,1,public_source_watchlist_v1,62.56,50.05,harvest,cyclical,core_resource,2025-06-30,
2025-06-30,2025-07-01,600019,REJECT,7.88,1.33,51.1,1,public_source_watchlist_v1,56.8,42.55,reject,compounder,core_resource,2025-06-30,
2025-06-30,2025-07-01,600758,REJECT,3.65,0.86,50.92,1,public_source_watchlist_v1,52.18,49.03,reject,compounder,core_resource,2025-06-30,
2025-06-30,2025-07-01,601065,REJECT,5.89,1.39,50.92,1,public_source_watchlist_v1,44.54,60.5,reject,cyclical,core_resource,2025-06-30,
2025-06-30,2025-07-01,600568,REJECT,0.78,1.15,48.88,0,public_source_watchlist_v1,47.34,51.19,reject,special_situation,financial_asset,2025-06-30,
2025-06-30,2025-07-01,603227,REJECT,3.95,0.73,46.16,1,public_source_watchlist_v1,45.15,47.68,reject,compounder,core_resource,2025-06-30,
2025-06-30,2025-07-01,002226,REJECT,3.1,0.66,41.98,1,public_source_watchlist_v1,41.2,43.16,reject,compounder,core_resource,2025-06-30,
2025-06-30,2025-07-01,002121,REJECT,0.31,0.45,39.19,1,public_source_watchlist_v1,29.55,53.66,reject,compounder,financial_asset,2025-06-30,debt wall coverage fails survival tripwire
2025-06-30,2025-07-01,000425,REJECT,4.16,2.23,37.83,1,public_source_watchlist_v1,33.75,43.95,reject,compounder,rigid_shovel,2025-06-30,
2025-06-30,2025-07-01,603977,REJECT,3.94,0.84,35.08,1,public_source_watchlist_v1,26.42,48.08,reject,compounder,unknown,2025-06-30,debt wall coverage fails survival tripwire
2025-06-30,2025-07-01,600221,REJECT,0.04,0.04,33.13,1,public_source_watchlist_v1,26.4,43.23,reject,compounder,unknown,2025-06-30,debt wall coverage fails survival tripwire
2025-07-31,2025-08-01,600348,REJECT,8.03,1.99,56.09,1,public_source_watchlist_v1,58.81,52.02,reject,cyclical,core_resource,2025-07-31,
2025-07-31,2025-08-01,601065,REJECT,5.89,1.39,53.65,1,public_source_watchlist_v1,44.54,67.31,reject,cyclical,core_resource,2025-07-31,
2025-07-31,2025-08-01,600758,REJECT,3.65,0.86,50.9,1,public_source_watchlist_v1,52.18,48.98,reject,compounder,core_resource,2025-07-31,
